country_code,female,age,educ,inc_q,urbanicity,account_mob,dig_account,anydigpayment,internet_use,wgt,mmpi_2023,reg_index,reg_cons_prot,reg_kyc_prop,reg_entry_lim,reg_max_lim,reg_agent_el,num_providers,earliest_launch
KEN,2,24,2.0,3,1,1,1,1,1,1.63511525469681,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,39,1.0,4,1,1,1,1,0,1.7332968918988,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,29,2.0,4,1,1,1,1,1,1.64511958275309,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,18,2.0,2,1,1,1,1,1,1.11411878900942,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,19,3.0,5,1,1,1,1,1,0.333203266687872,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,36,1.0,3,1,0,0,0,0,2.03204884872173,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,26,2.0,5,1,1,1,1,1,0.984512284365138,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,50,1.0,1,1,1,1,1,1,1.64344661414456,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,22,2.0,2,2,1,1,1,1,1.52927429363189,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,36,2.0,4,1,1,1,1,1,0.559492197159322,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,40,2.0,3,1,1,1,1,1,0.658592298488748,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,33,2.0,2,1,1,1,1,1,0.884671032285248,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,52,2.0,1,1,1,1,1,0,1.15981876091747,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,50,1.0,4,1,1,1,1,0,0.963355965102333,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,20,2.0,4,1,1,1,1,1,0.889469232324232,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,20,2.0,5,2,1,1,1,0,1.3814263802046,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,22,1.0,2,2,1,1,1,1,1.03658225034426,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,61,2.0,1,1,1,1,1,0,2.0533388763158,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,20,2.0,3,2,1,1,1,1,1.17119744669229,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,21,2.0,3,1,1,1,1,1,0.891515188172988,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,17,2.0,1,1,1,1,1,0,1.38039298089141,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,35,2.0,4,2,1,1,1,1,0.489011952782269,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,25,2.0,5,2,1,1,1,1,0.548783721173549,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,31,1.0,1,1,0,0,0,0,1.58177202475665,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,45,1.0,1,1,1,1,1,0,0.963355965102333,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,30,2.0,1,1,1,1,1,1,0.822559791376547,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,23,3.0,5,1,1,1,1,1,0.45672318159715,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,29,2.0,2,1,1,1,1,0,1.15287261500707,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,40,2.0,3,1,1,1,1,1,0.726592968720669,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,32,2.0,2,1,1,1,1,1,0.600494220455828,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,27,2.0,4,2,1,1,1,1,0.801258355440578,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,40,2.0,2,1,1,1,1,1,1.10171807328609,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,28,3.0,5,2,1,1,1,1,0.455638199172472,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,40,2.0,1,1,0,0,0,1,1.5524558880666,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,35,2.0,4,1,1,1,1,1,0.793227461958446,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,22,2.0,5,2,1,1,1,1,0.803166341282982,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,70,1.0,2,1,1,1,1,0,1.03838542472918,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,27,2.0,4,2,1,1,1,1,0.484672266272387,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,42,1.0,2,1,0,0,0,0,1.65339451456356,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,27,2.0,2,1,1,1,1,0,1.04261671198139,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,20,2.0,5,1,1,1,1,1,0.408778813674202,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,35,2.0,4,1,0,0,0,1,1.00550607133492,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,38,3.0,5,1,1,1,1,1,0.417420340585453,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,20,2.0,4,1,1,1,1,1,0.42211873948282,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,30,2.0,4,1,1,1,1,1,0.625427407158154,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,18,1.0,3,1,0,0,0,0,1.3713769841714,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,44,1.0,4,1,1,1,1,0,0.565876923172412,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,19,2.0,5,2,1,1,1,1,1.05205522456972,Very high,88.0,100.0,0,100,100,100,4,2007
